"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Qwen","Teacher","Beginner","Tech","Marketing",1.43,"Slow response"
"GrammarlyGO","DevOps Engineer","Advanced","Media","Video Creation",2.56,"Connection issues"
"Runway ML","Designer","Intermediate","Manufacturing","Translation",2.29,"Slow response"
"BloombergGPT","Freelancer","Advanced","Media","Content Writing",2.59,"Slow response"
"Tesla Optimus","Data Analyst","Advanced","Media","Content Writing",2.12,"Tool limitation"
"Whisper","Lawyer","Beginner","Finance","Customer Support",1.66,"Wrong output"
"Tableau AI","Marketer","Beginner","Agriculture","Research",2.1,"Slow response"
"Tableau AI","Content Creator","Intermediate","Tech","Automation",1.66,"Connection issues"
"LangChain","Marketer","Beginner","Healthcare","Coding",1.96,"Slow response"
"Grok","Researcher","Advanced","Healthcare","Video Creation",2.59,"Tool limitation"
"Kensho","Teacher","Advanced","Education","Video Creation",1.56,"Low accuracy"
"DALL-E","Non-Tech User","Expert","Energy","Automation",2.17,"Tool limitation"
"Synthesia","Lawyer","Beginner","Legal","Marketing",1.24,"Wrong output"
"Tesla Optimus","Teacher","Expert","Healthcare","Automation",2.37,"Low accuracy"
"Claude","Junior Dev","Expert","Government","Marketing",1.23,"Tool limitation"
"Cohere","Marketer","Expert","Agriculture","Automation",2.23,"Slow response"
"Copy.ai","Content Creator","Intermediate","Tech","Automation",1.94,"Connection issues"
"Tabnine","Business Owner","Expert","Education","Content Writing",1.1,"Slow response"
"Hugging Face","ML Engineer","Beginner","Tech","Content Writing",1.04,"Low accuracy"
"Gemini","Product Manager","Expert","Media","Translation",1.14,"Tool limitation"
"Synthesia","Government Worker","Expert","Finance","Video Creation",1.88,"Tool limitation"
"Tableau AI","Student","Intermediate","Media","Learning",1.2,"Connection issues"
"LLaMA","Designer","Beginner","Agriculture","Automation",1.97,"Tool limitation"
"PyTorch","DevOps Engineer","Advanced","Agriculture","Data Analysis",1.28,"Wrong output"
"Power BI Copilot","Data Analyst","Expert","Education","Customer Support",1.25,"Tool limitation"
"Deepgram","Teacher","Beginner","Education","Data Analysis",1.85,"Connection issues"
"IBM Watson","Doctor","Advanced","Energy","Design",1.94,"Low accuracy"
"ElevenLabs","Doctor","Intermediate","Education","Automation",1.34,"Tool limitation"
"Synthesia","Doctor","Intermediate","Education","Design",1.39,"Connection issues"
"Figma AI","Content Creator","Beginner","Energy","Translation",2.53,"Connection issues"
"Copy.ai","DevOps Engineer","Expert","Transportation","Translation",1.77,"Slow response"
"AutoGPT","Freelancer","Expert","Media","Marketing",1.67,"Tool limitation"
"Mistral","Lawyer","Expert","Media","Learning",2.3,"Connection issues"
"Falcon","Data Analyst","Expert","Retail","Coding",2.5,"Low accuracy"
"DataRobot","Startup Founder","Expert","Transportation","Customer Support",2.1,"Tool limitation"
"Notion AI","ML Engineer","Beginner","Transportation","Automation",2.29,"Wrong output"
"Gemini","Data Analyst","Advanced","Healthcare","Learning",1.5,"Low accuracy"
"Kensho","Freelancer","Expert","Transportation","Coding",2.16,"Connection issues"
